1000,401472
1000,249324
1000,230717
1000,214314
1000,213199
1001,223151
1001,201372
1001,232324
1001,210764
1001,228501
1002,246525
1002,210551
1002,232870
1002,243878
1002,199561
1003,153341
1003,204008
1003,187642
1003,212921
1003,172981
1004,153130
1004,181854
1004,183313
1004,181600
1004,152397
1005,156679
1005,176244
1005,183145
1005,182880
1005,181782
1006,156829
1006,146699
1006,127225
1006,156053
1006,158756
1007,169281
1007,132348
1007,151279
1007,148805
1007,143430
1008,130555
1008,146774
1008,207523
1008,207455
1008,175351
1009,249410
1009,194275
1009,215465
1009,207421
1009,220743
